ANPP,winter.precip,herb.abund
136.835787,1296.06,1
338.13007,861.06,14
73.428765,861.06,1
110.630605,861.06,2
156.9481675,1296.06,4
311.3022,861.06,9
136.1536381,1296.06,1
96.83198,861.06,3
251.5720625,861.06,3
121.6322775,1296.06,4
249.4972675,861.06,3
87.81622,861.06,0
197.58302,861.06,5
143.81339,1296.06,1
30.58861,861.06,1
132.7756075,1296.06,2
111.169435,861.06,0
266.5427875,861.06,4
205.051715,1127.55451,3
370.7601425,692.5545102,7
152.3208775,692.5545102,1
194.8555125,692.5545102,4
236.770765,1127.55451,0
330.11143,692.5545102,10
217.8865425,1127.55451,1
205.2211425,692.5545102,2
401.0959975,692.5545102,5
222.2027775,1127.55451,7
400.687705,692.5545102,13
193.7611775,692.5545102,7
326.9497092,692.5545102,3
203.57964,1127.55451,5
154.04015,692.5545102,2
234.6348675,1127.55451,3
234.6070925,692.5545102,2
444.15558,692.5545102,12
226.982855,1091.082,3
335.649765,656.082,6
141.158105,656.082,2
143.902275,656.082,1
200.752145,1091.082,5
290.154315,656.082,7
309.99122,1091.082,5
182.820605,656.082,2
296.231485,656.082,2
215.07849,1091.082,4
384.367115,656.082,10
137.7732583,656.082,1
329.3263233,656.082,9
173.40488,1091.082,3
142.1561533,656.082,1
184.0390017,1091.082,1
138.3898633,656.082,4
295.9333667,656.082,4
239.7945367,1637.033128,8
422.396645,1202.033128,11
203.5759367,1202.033128,5
203.6944433,1202.033128,3
251.45263,1637.033128,3
341.81026,1202.033128,11
301.164325,1637.033128,6
293.48176,1202.033128,5
274.666975,1202.033128,2
259.268515,1637.033128,6
215.4432683,1202.033128,3
241.4665917,1202.033128,1
238.1409983,1202.033128,2
161.978245,1637.033128,3
149.7998333,1202.033128,1
233.52109,1637.033128,4
273.9077917,1202.033128,5
294.59276,1202.033128,2
349.081755,1455.266,11
299.83668,1020.266,7
241.303645,1020.266,6
274.9725,1020.266,2
309.563485,1455.266,8
346.55423,1020.266,7
400.876575,1455.266,7
365.291245,1020.266,7
297.098065,1020.266,6
497.022515,1455.266,17
355.125595,1020.266,7
353.83128,1020.266,6
255.7522,1020.266,3
440.928125,1455.266,18
290.93757,1020.266,4
453.27689,1455.266,12
318.440375,1020.266,6
389.488825,1020.266,6
121.59895,1668.58,2
317.24605,1233.58,6
119.7658,1233.58,1
199.92445,1233.58,2
193.314,1668.58,1
385.01705,1233.58,11
317.35715,1668.58,5
244.8644,1233.58,6
350.13165,1233.58,2
277.13895,1668.58,6
295.8593,1233.58,4
333.5222,1233.58,8
267.9732,1233.58,2
237.25405,1668.58,0
146.9853,1233.58,2
181.8707,1668.58,5
189.675475,1233.58,1
358.5197,1233.58,6
242.836825,1410.81,7
288.36005,975.81,3
224.8664,975.81,3
159.92845,975.81,3
304.275125,1410.81,6
486.079165,975.81,21
260.8628,1410.81,6
251.1971,975.81,7
334.5221,975.81,7
179.398725,1410.81,1
644.74663,975.81,50
211.651055,975.81,3
312.274325,975.81,2
253.95238,1410.81,1
150.15165,975.81,2
299.71447,1410.81,6
237.56513,975.81,5
295.526,975.81,5
194.3139,1116.561638,4
444.34445,681.5616376,14
248.15296,681.5616376,4
209.979,681.5616376,5
242.3091,1116.561638,4
409.0702,681.5616376,11
244.769965,1116.561638,3
323.37877,681.5616376,4
342.13245,681.5616376,5
329.805905,1116.561638,5
574.45366,681.5616376,29
224.11092,681.5616376,2
352.692505,681.5616376,7
200.996565,1116.561638,2
167.81655,681.5616376,1
145.92985,1116.561638,1
102.42309,681.5616376,1
309.6357,681.5616376,4
298.71457,1075.588,8
223.127685,640.588,2
179.33762,640.588,0
224.422,640.588,1
178.18218,1075.588,2
421.45785,640.588,15
392.02746,1075.588,8
263.468095,640.588,5
418.519255,640.588,6
228.12163,1075.588,3
542.573515,640.588,27
203.651855,640.588,1
217.25605,640.588,3
251.835925,1075.588,4
176.499015,640.588,1
140.68593,1075.588,4
168.610915,640.588,4
415.963955,640.588,13
180.3153,1233.598,3
241.5314,798.598,3
235.69865,798.598,5
189.03665,798.598,5
274.0837,1233.598,6
228.9771,798.598,3
283.0828,1233.598,5
215.7562,798.598,3
258.6408,798.598,5
304.80285,1233.598,5
313.91305,798.598,4
170.14965,798.598,1
197.03585,798.598,2
202.14645,1233.598,5
123.9876,798.598,1
209.617925,1233.598,4
203.0908,798.598,5
325.1897,798.598,11
217.47825,1334.668,4
191.48085,899.668,0
180.2042,899.668,1
142.457975,899.668,1
248.03075,1334.668,7
323.0788,899.668,6
181.5374,1334.668,0
247.69745,899.668,2
177.3156,899.668,3
338.6328,1334.668,5
239.070535,899.668,2
274.966945,899.668,1
100.37885,899.668,2
96.93475,1334.668,0
141.59695,899.668,3
136.15305,1334.668,2
188.4256,899.668,5
291.1931,899.668,5
